,ID,formula,smiles,HOMO_LUMO_gap
159,ACUYAA,C22 H19 N1 O1,CN1C(C(C(=O)c2ccccc2)c2ccccc12)c1ccccc1,6.00011041
160,ACUYII,C23 H18 N2 O1,CN1C(C(C(=O)c2ccccc2)c2cc(ccc12)C#N)c1ccccc1,5.7622829
161,ACUYOO,C30 H25 N1 O2,CN1C(c2ccccc2)C(C(=O)c2ccccc2)(C(=O)c2ccc(C)cc2)c2ccccc12,5.45697116
162,ADADOA,C25 H19 N1,C1Cc2ccc3ccccc3c2C(C1)=C1C2=CC=CN2c2ccccc12,5.4398279800000005
163,ADAGAQ,C23 H18 N2 O2,COc1ccc(cc1)C(=O)NN=Cc1c2ccccc2cc2ccccc12,5.4988766899999995
164,ADAGOD,C20 H17 N1,CC1=CCN2c3ccccc3C=C2C(=C1)c1ccccc1,5.90214941
165,ADAHET,C8 H7 N3 S2,Nc1ccc2C(=S)NC(=S)Nc2c1,6.01235553
166,ADAHEV,C42 H20 Br2 F4,Fc1cc2c(cc1F)c(c1cc(F)c(F)cc1c2c1c2ccccc2c(Br)c2ccccc12)c1c2ccccc2c(Br)c2ccccc12,4.8509736100000005
167,ADAJAR,C21 H17 N5,CC1=NN(c2ccccc2)c2nc3N(N=C(C)c3cc12)c1ccccc1,5.94949723
168,ADAJOF,C17 H12 N2 O5,Oc1ccccc1C(=O)NNC(=O)C1=Cc2ccccc2OC1=O,5.98051821
169,ADAKAS,C20 H12 F6 N2 S2,CC1=CC(=C(C)S1)C1=C(C2=C(C)SC(=C2)C=C(C#N)C#N)C(F)(F)C(F)(F)C1(F)F,5.769085749999999
170,ADANAV,C19 H18 Cl1 N3 O1,CCCNC1=NC(=Cc2ccccc2)C(=O)N1c1ccc(Cl)cc1,5.82214795
171,ADAXEL,C20 H18 Cl1 N3 O1,Cc1ccc(Cl)cc1N1CCC2=NN(C(=O)C2=C1C)c1ccccc1,6.05861488
172,ADAYIQ,C17 H20 N2 O3 S2,CCN(CC)c1ccc(cc1)C=C1SC(=S)N(CCC(O)=O)C1=O,5.03519469
173,ADAYOW,C17 H9 Br1 N2 O2,Brc1ccc(NC(C#N)=C2C(=O)c3ccccc3C2=O)cc1,5.6988803699999995
174,ADDHMP,C20 H16 Cl2 O7,CCC(=O)C12C(C(C)C(=O)c3c(O)cc(Cl)c(OC(C)=O)c13)C(=O)C(=CC2=O)Cl,6.5590322500000005
175,ADEBER,C38 H42 N4,Cc1cccc(C)c1N=C(C)C(=Nc1c(C)cccc1C)C(=Nc1c(C)cccc1C)C(C)=Nc1c(C)cccc1C,6.297530849999999
176,ADECUI,C18 H14 O1,COCc1ccc2ccc3cccc4ccc1c2c34,5.6485392999999995
177,ADEGAS,C14 H17 Cl1 N2 O3,CCOC(=O)C(=NNc1c(C)cccc1C)C(=O)CCl,5.97371536
178,ADELON,C18 H13 F5 N2 O1,CC(C)(C1=CC=CN1)C1=CNC(=C1)C(=O)c1c(F)c(F)c(F)c(F)c1F,6.017253569999999
179,ADEMUS,C25 H28 N2 O4 S1,CCOC(=O)C1=C(C)NC(=C(C1C1=CC=CS1)C(=O)OCC)C=NC(C)c1ccccc1,6.08120033
180,ADENUT,C18 H12 N2 O1,O=C1N2C(Nc3cccc4cccc2c34)c2ccccc12,5.89616291
181,ADEREH,C16 H12 O3,O=C(C=Cc1ccc2OCOc2c1)c1ccccc1,6.0284102399999995
182,ADESAE,C18 H16 Cl2 O4,COc1cc(OC)c(C=CC(=O)c2ccc(Cl)cc2Cl)cc1OC,5.81235184
183,ADESOS,C9 H8 N4 O1 S1,NN1C(=S)NN=C(C1=O)c1ccccc1,6.0594312299999995
184,ADEVUB,C29 H22 F6 O2 S2,COc1cccc(c1)C1=CC(=C(S1)C1=C(C2=C(C)C=C(S2)c2cccc(OC)c2)C(F)(F)C(F)(F)C1(F)F)C,5.547040840000001
185,ADEXEN,C23 H27 N3 O2,CCCN(CCC)C1=NC(=Cc2ccc(OC)cc2)C(=O)N1c1ccccc1,5.63711053
186,ADEYOY,C15 H15 Cl1 N2 O1,CC(C)c1cc(ccc1O)N=Nc1ccc(Cl)cc1,6.184875700000001
187,ADEZAL,C12 H11 N3 O1 S1,S=C(NN=CC1=CC=CO1)Nc1ccccc1,5.927456
188,ADICUM,C20 H21 N3 O4,COc1cc2CCN(Cc2cc1OC)CC1=[N+]([O-])ON=C1c1ccccc1,6.1293644800000004
189,ADIDAU,C40 H52 N6 O2,CC1(C)C2CC3N(Cc4ccc(cc4)C#N)C4CC(N2Cc2ccc(cc2)C#N)C1(CN1CCOCC1)C3(CN1CCOCC1)C4(C)C,6.45644533
